year,month,day,temp_morning,temp_evening,average,actual,Event_rain
2013,8,28,84,84,75,80,0
2013,8,29,84,80,74.8,70,0
2013,8,30,80,70,74.6,69,0
2013,8,31,70,69,74.4,69,0
2013,9,1,69,69,74.3,73,0
2013,9,2,69,73,74.1,71,0
2013,9,3,73,71,73.9,82,0
2013,9,4,71,82,73.7,83,0
2013,9,5,82,83,73.5,82,0
2013,9,6,83,82,73.3,84,0
2013,9,7,82,84,73,83,0
2013,9,8,84,83,72.8,85,0
2013,9,9,83,85,72.6,85,0
2013,9,10,85,85,72.3,84,0
2013,9,11,85,84,72.1,85,0
2013,9,12,84,85,71.8,68,0
2013,9,13,85,68,71.5,64,0
2013,9,14,68,64,71.2,67,0
2013,9,15,64,67,71,65,0
2013,9,16,67,65,70.7,64,0
2013,9,17,65,64,70.3,62,0
2013,9,18,64,62,70,65,0
2013,9,19,62,65,69.7,69,0
2013,9,20,65,69,69.4,77,0
2013,9,21,69,77,69,76,0
2013,9,22,77,76,68.7,76,0
2013,9,23,76,76,68.3,80,0
2013,9,24,76,80,68,75,0
2013,9,25,80,75,67.6,67,0
2013,9,26,75,67,67.2,61,0
2013,9,27,67,61,66.8,65,0
2013,9,28,61,65,66.5,65,0
2013,9,29,65,65,66.1,77,0
2013,9,30,65,77,65.7,65,0
2013,10,1,77,65,65.3,59,0
2013,10,2,65,59,64.9,64,0
2013,10,3,59,64,64.5,62,0
2013,10,4,64,62,64.1,63,0
2013,10,5,62,63,63.7,55,0
2013,10,6,63,55,63.3,58,0
2013,10,7,55,58,62.9,55,0
2013,10,8,58,55,62.5,65,0
2013,10,9,55,65,62.1,60,0
2013,10,10,65,60,61.8,59,0
2013,10,11,60,59,61.4,59,0
2013,10,12,59,59,61,59,0
2013,10,13,59,59,60.6,59,0
2013,10,14,59,59,60.2,58,0
2013,10,15,59,58,59.9,57,0
2013,10,16,58,57,59.5,50,0
2013,10,17,57,50,59.1,61,0
2013,10,18,50,61,58.8,67,0
2013,10,19,61,67,58.4,59,0
2013,10,20,67,59,58.1,59,0
2013,10,21,59,59,57.8,58,0
2013,10,22,59,58,57.4,60,0
2013,10,23,58,60,57.1,57,0
2013,10,24,60,57,56.8,57,0
2013,10,25,57,57,56.5,54,0
2013,10,26,57,54,56.2,50,0
2013,10,27,54,50,55.9,54,0
2013,10,28,50,54,55.6,54,0
2013,10,29,54,54,55.3,56,0
2013,10,30,54,56,55,57,0
2013,10,31,56,57,54.8,53,0
2013,11,1,57,53,54.5,52,0
2013,11,2,53,52,54.2,52,0
2013,11,3,52,52,53.9,52,0
2013,11,4,52,52,53.7,44,0
2013,11,5,52,44,53.4,50,0
2013,11,6,44,50,53.2,49,0
2013,11,7,50,49,52.9,49,0
2013,11,8,49,49,52.7,55,0
2013,11,9,49,55,52.4,62,0
2013,11,10,55,62,52.2,59,0
2013,11,11,62,59,51.9,51,0
2013,11,12,59,51,51.7,49,0
2013,11,13,51,49,51.4,49,0
2013,11,14,49,49,51.2,47,0
2013,11,15,49,47,51,48,0
2013,11,16,47,48,50.7,52,0
2013,11,17,48,52,50.5,48,0
2013,11,18,52,48,50.3,39,1
2013,11,19,48,39,50,41,1
2013,11,20,39,41,49.8,39,1
2013,11,21,41,39,49.5,50,1
2013,11,22,39,50,49.3,52,1
2013,11,23,50,52,49.1,53,1
2013,11,24,52,53,48.9,45,1
2013,11,25,53,45,48.6,48,1
2013,11,26,45,48,48.4,51,1
2013,11,27,48,51,48.2,56,1
2013,11,28,51,56,48,48,1
2013,11,29,56,48,47.8,44,1
2013,11,30,48,44,47.6,45,1
2013,12,1,44,45,47.4,41,1
2013,12,2,45,41,47.2,44,1
2013,12,3,41,44,47,42,1
2013,12,4,44,42,46.8,43,1
2013,12,5,42,43,46.6,42,1
2013,12,6,43,42,46.4,38,1
2013,12,7,42,38,46.3,41,1
2013,12,8,38,41,46.1,40,1
2013,12,9,41,40,46,40,1
2013,12,10,40,40,45.9,40,1
2013,12,11,40,40,45.7,40,1
2013,12,12,40,40,45.6,39,1
2013,12,13,40,39,45.5,41,1
2013,12,14,39,41,45.4,40,1
2013,12,15,41,40,45.3,44,1
2013,12,16,40,44,45.3,49,1
2013,12,17,44,49,45.2,50,0
2013,12,18,49,50,45.2,46,0
2013,12,19,50,46,45.1,46,0
2013,12,20,46,46,45.1,44,0
2013,12,21,46,44,45.1,45,0
2013,12,22,44,45,45.1,38,0
2013,12,23,45,38,45.1,49,0
2013,12,24,38,49,45.1,52,0
2013,12,25,49,52,45.1,50,0
2013,12,26,52,50,45.2,42,0
2013,12,27,50,42,45.2,51,0
2013,12,28,42,51,45.3,53,0
2013,12,29,51,53,45.3,51,0
2013,12,30,53,51,45.4,49,0
2013,12,31,51,49,45.5,43,0
2014,1,1,49,43,45.6,55,0
2014,1,2,43,55,45.7,51,0
2014,1,3,55,51,45.8,53,0
2014,1,4,51,53,45.9,54,0
2014,1,5,53,54,46,48,0
2014,1,6,54,48,46.1,40,0
2014,1,7,48,40,46.2,45,0
2014,1,8,40,45,46.3,50,0
2014,1,9,45,50,46.4,49,0
2014,1,10,50,49,46.5,43,0
2014,1,11,49,43,46.7,43,0
2014,1,12,43,43,46.8,43,0
2014,1,13,43,43,46.9,41,0
2014,1,14,43,41,47,40,0
2014,1,15,41,40,47.1,34,0
2014,1,16,40,34,47.3,35,0
2014,1,17,34,35,47.4,38,0
2014,1,18,35,38,47.5,32,0
2014,1,19,38,32,47.6,30,0
2014,1,20,32,30,47.7,45,0
2014,1,21,30,45,47.8,47,0
2014,1,22,45,47,47.9,44,0
2014,1,23,47,44,48,47,0
2014,1,24,44,47,48.1,50,0
2014,1,25,47,50,48.2,48,0
2014,1,26,50,48,48.3,48,0
2014,1,27,48,48,48.4,44,0
2014,1,28,48,44,48.4,44,0
2014,1,29,44,44,48.5,49,0
2014,1,30,44,49,48.6,47,0
2014,1,31,49,47,48.7,49,0
2014,2,1,47,49,48.8,48,0
2014,2,2,49,48,48.8,47,0
2014,2,3,48,47,48.9,58,0
2014,2,4,47,58,49,60,0
2014,2,5,58,60,49.1,57,0
2014,2,6,60,57,49.1,61,0
2014,2,7,57,61,49.2,60,0
2014,2,8,61,60,49.3,50,0
2014,2,9,60,50,49.4,52,0
2014,2,10,50,52,49.4,55,0
2014,2,11,52,55,49.5,48,0
2014,2,12,55,48,49.6,47,0
2014,2,13,48,47,49.7,45,0
2014,2,14,47,45,49.8,44,0
2014,2,15,45,44,49.9,45,0
2014,2,16,44,45,49.9,45,0
2014,2,17,45,45,50,50,0
2014,2,18,45,50,50.1,44,0
2014,2,19,50,44,50.2,44,0
2014,2,20,44,44,50.4,46,0
2014,2,21,44,46,50.5,50,0
2014,2,22,46,50,50.6,50,0
2014,2,23,50,50,50.7,47,0
2014,2,24,50,47,50.8,44,0
2014,2,25,47,44,50.9,45,0
2014,2,26,44,45,51.1,41,0
2014,2,27,45,41,51.2,44,0
2014,2,28,41,44,51.3,44,0
2014,3,1,44,41,51.5,43,0
2014,3,2,41,43,51.6,44,0
2014,3,3,43,44,51.8,54,0
2014,3,4,44,54,51.9,51,0
2014,3,5,54,51,52.1,46,0
2014,3,6,51,46,52.2,44,0
2014,3,7,46,44,52.4,48,0
2014,3,8,44,48,52.5,60,0
2014,3,9,48,60,52.7,49,0
2014,3,10,60,49,52.8,45,0
2014,3,11,49,45,53,44,0
2014,3,12,45,44,53.1,47,0
2014,3,13,44,47,53.3,42,0
2014,3,14,47,42,53.4,46,0
2014,3,15,42,46,53.6,52,0
2014,3,16,46,52,53.7,48,0
2014,3,17,52,48,53.9,50,0
2014,3,18,48,50,54,41,0
2014,3,19,50,41,54.2,45,0
2014,3,20,41,45,54.3,46,0
2014,3,21,45,46,54.5,48,0
2014,3,22,46,48,54.6,50,0
2014,3,23,48,50,54.7,54,0
2014,3,24,50,54,54.9,59,0
2014,3,25,54,59,55,56,0
2014,3,26,59,56,55.2,55,0
2014,3,27,56,55,55.3,58,0
2014,3,28,55,58,55.5,51,0
2014,3,29,58,51,55.6,50,0
2014,3,30,51,50,55.7,49,0
2014,3,31,50,49,55.9,50,0
2014,4,1,49,50,56,48,0
2014,4,2,50,48,56.2,62,0
2014,4,3,48,62,56.3,53,0
2014,4,4,62,53,56.5,51,0
2014,4,5,53,51,56.6,49,0
2014,4,6,51,49,56.8,52,0
2014,4,7,49,52,56.9,61,0
2014,4,8,52,61,57.1,70,0
2014,4,9,61,70,57.2,68,0
2014,4,10,70,68,57.4,64,0
2014,4,11,68,64,57.6,52,0
2014,4,12,64,52,57.7,57,0
2014,4,13,52,57,57.9,59,1
2014,4,14,57,59,58.1,60,1
2014,4,15,59,60,58.3,61,1
2014,4,16,60,61,58.5,56,1
2014,4,17,61,56,58.6,50,1
2014,4,18,56,50,58.8,56,1
2014,4,19,50,56,59,57,1
2014,4,20,56,57,59.2,56,1
2014,4,21,57,56,59.4,68,1
2014,4,22,56,68,59.7,74,1
2014,4,23,68,74,59.9,71,1
2014,4,24,74,71,60.1,57,1
2014,4,25,71,57,60.3,62,1
2014,4,26,57,62,60.5,57,1
2014,4,27,62,57,60.7,56,1
2014,4,28,57,56,61,61,1
2014,4,29,56,61,61.2,60,1
2014,4,30,61,60,61.4,55,1
2014,5,1,60,55,61.6,53,1
2014,5,2,55,53,61.9,56,1
2014,5,3,53,56,62.1,52,1
2014,5,4,56,52,62.3,54,1
2014,5,5,52,54,62.5,56,1
2014,5,6,54,56,62.8,64,1
2014,5,7,56,64,63,75,1
2014,5,8,64,75,63.2,65,1
2014,5,9,75,65,63.4,56,1
2014,5,10,65,56,63.6,58,1
2014,5,11,56,58,63.8,65,1
2014,5,12,58,65,64.1,76,1
2014,5,13,65,76,64.3,78,0
2014,5,14,76,78,64.5,80,0
2014,5,15,78,80,64.7,76,0
2014,5,16,80,76,64.8,67,0
2014,5,17,76,67,65,64,0
2014,5,18,67,64,65.2,60,0
2014,5,19,64,60,65.4,67,0
2014,5,20,60,67,65.6,58,0
2014,5,21,67,58,65.7,62,0
2014,5,22,58,62,65.9,55,0
2014,5,23,62,55,66.1,58,0
2014,5,24,55,58,66.2,63,0
2014,5,25,58,63,66.4,72,0
2014,5,26,63,72,66.5,72,0
2014,5,27,72,72,66.7,63,0
2014,5,28,72,63,66.8,62,0
2014,5,29,63,62,67,61,0
2014,5,30,62,61,67.1,66,0
2014,5,31,61,66,67.3,64,0
2014,6,1,66,64,67.4,68,0
2014,6,2,64,68,67.6,66,0
2014,6,3,68,66,67.7,63,0
2014,6,4,66,63,67.9,55,0
2014,6,5,63,55,68,56,0
2014,6,6,55,56,68.2,61,0
2014,6,7,56,61,68.3,61,0
2014,6,8,61,61,68.5,59,0
2014,6,9,61,59,68.6,63,0
2014,6,10,59,63,68.8,66,0
2014,6,11,63,66,69,74,0
2014,6,12,66,74,69.1,65,0
2014,6,13,74,65,69.3,61,0
2014,6,14,65,61,69.5,63,0
2014,6,15,61,63,69.7,72,0
2014,6,16,63,72,69.8,70,0
2014,6,17,72,70,70,66,0
2014,6,18,70,66,70.2,63,0
2014,6,19,66,63,70.4,67,0
2014,6,20,63,67,70.6,76,0
2014,6,21,67,76,70.8,75,0
2014,6,22,76,75,71,57,0
2014,6,23,75,57,71.3,60,0
2014,6,24,57,60,71.5,67,0
2014,6,25,60,67,71.7,67,0
2014,6,26,67,67,71.9,65,0
2014,6,27,67,65,72.2,73,0
2014,6,28,65,73,72.4,72,0
2014,6,29,73,72,72.6,71,0
2014,6,30,72,71,72.8,68,0
2014,7,1,71,68,73.1,68,0
2014,7,2,68,68,73.3,66,0
2014,7,3,68,66,73.5,65,0
2014,7,4,66,65,73.8,69,0
2014,7,5,65,69,74,76,0
2014,7,6,69,76,74.2,77,0
2014,7,7,76,77,74.4,80,0
2014,7,8,77,80,74.6,83,0
2014,7,9,80,83,74.9,77,0
2014,7,10,83,77,75.1,75,0
2014,7,11,77,75,75.3,82,0
2014,7,12,75,82,75.4,78,0
2014,7,13,82,78,75.6,74,0
2014,7,14,78,74,75.8,77,0
2014,7,15,74,77,76,66,0
2014,7,16,77,66,76.1,79,0
2014,7,17,66,79,76.3,71,0
2014,7,18,79,71,76.4,70,0
2014,7,19,71,70,76.6,77,0
2014,7,20,70,77,76.7,67,0
2014,7,21,77,67,76.8,75,0
2014,7,22,67,75,76.9,69,0
2014,7,23,75,69,77,66,0
2014,7,24,69,66,77.1,74,0
2014,7,25,66,74,77.1,80,0
2014,7,26,74,80,77.2,78,0
2014,7,27,80,78,77.3,66,0
2014,7,28,78,66,77.3,72,0
2014,7,29,66,72,77.3,73,0
2014,7,30,72,73,77.3,67,0
2014,7,31,73,67,77.4,73,0
2014,8,1,67,73,77.4,75,0
2014,8,2,73,75,77.4,74,0
2014,8,3,75,74,77.3,81,0
2014,8,4,74,81,77.3,93,0
2014,8,5,81,93,77.3,93,0
2014,8,6,93,93,77.2,83,0
2014,8,7,93,83,77.2,70,0
2014,8,8,83,70,77.1,72,0
2014,8,9,70,72,77.1,76,0
2014,8,10,72,76,77,78,0
2014,8,11,76,78,76.9,83,0
2014,8,12,78,83,76.9,87,0
2014,8,13,83,87,76.8,87,0
2014,8,14,87,87,76.7,84,0
2014,8,15,87,84,76.6,88,0
2014,8,16,84,88,76.5,94,0
2014,8,17,88,94,76.4,91,0
2014,8,18,94,91,76.3,71,0
2014,8,19,91,71,76.2,74,0
2014,8,20,71,74,76.1,78,0
2014,8,21,74,78,75.9,74,0
2014,8,22,78,74,75.8,72,0
2014,8,23,74,72,75.7,70,0
2014,8,24,72,70,75.5,72,0
2014,8,25,70,72,75.4,79,0
2014,8,26,72,79,75.3,70,0
2014,8,27,79,70,75.1,75,0
2014,8,28,70,75,75,73,0
2014,8,29,75,73,74.8,73,0
2014,8,30,73,73,74.6,73,0
2014,8,31,73,73,74.4,72,0
2014,9,1,73,72,74.3,71,0
2014,9,2,72,71,74.1,70,0
2014,9,3,71,70,73.9,73,0
2014,9,4,70,73,73.7,76,0
2014,9,5,73,76,73.5,79,0
2014,9,6,76,79,73.3,83,0
2014,9,7,79,83,73,90,0
2014,9,8,83,90,72.8,77,0
2014,9,9,90,77,72.6,66,0
2014,9,10,77,66,72.3,68,0
2014,9,11,66,68,72.1,68,0
2014,9,12,68,68,71.8,72,0
2014,9,13,68,72,71.5,82,0
2014,9,14,72,82,71.2,79,0
2014,9,15,82,79,71,72,0
2014,9,16,79,72,70.7,76,0
2014,9,17,72,76,70.3,82,0
2014,9,18,76,82,70,82,0
2014,9,19,82,82,69.7,75,0
2014,9,20,82,75,69.4,67,0
2014,9,21,75,67,69,61,0
2014,9,22,67,61,68.7,67,0
2014,9,23,61,67,68.3,67,0
2014,9,24,67,67,68,70,0
2014,9,25,67,70,67.6,67,0
2014,9,26,70,67,67.2,67,0
2014,9,27,67,67,66.8,73,0
2014,9,28,67,73,66.5,77,0
2014,9,29,73,77,66.1,69,0
2014,9,30,77,69,65.7,70,0
2014,10,1,69,70,65.3,74,0
2014,10,2,70,74,64.9,64,0
2014,10,3,74,64,64.5,66,0
2014,10,4,64,66,64.1,66,0
2014,10,5,66,66,63.7,71,0
2014,10,6,66,71,63.3,75,0
2014,10,7,71,75,62.9,75,0
2014,10,8,75,75,62.5,70,0
2014,10,9,75,70,62.1,61,0
2014,10,10,70,61,61.8,54,0
2014,10,11,61,54,61.4,57,0
2014,10,12,54,57,61,57,0
2014,10,13,57,57,60.6,60,0
2014,10,14,57,60,60.2,64,0
2014,10,15,60,64,59.9,63,0
2014,10,16,64,63,59.5,61,0
2014,10,17,63,61,59.1,58,0
2014,10,18,61,58,58.8,64,0
2014,10,19,58,64,58.4,59,0
2014,10,20,64,59,58.1,52,0
2014,10,21,59,52,57.8,53,0
2014,10,22,52,53,57.4,46,0
2014,10,23,53,46,57.1,52,0
2014,10,24,46,52,56.8,53,0
2014,10,25,52,53,56.5,53,0
2014,10,26,53,53,56.2,52,0
2014,10,27,53,52,55.9,58,0
2014,10,28,52,58,55.6,58,0
2014,10,29,58,58,55.3,60,0
2014,10,30,58,60,55,59,0
2014,10,31,60,59,54.8,60,0
2014,11,1,59,60,54.5,59,0
2014,11,2,60,59,54.2,59,0
2014,11,3,59,59,53.9,60,0
2014,11,4,59,60,53.7,64,0
2014,11,5,60,64,53.4,59,0
2014,11,6,64,59,53.2,55,0
2014,11,7,59,55,52.9,54,0
2014,11,8,55,54,52.7,50,0
2014,11,9,54,50,52.4,48,0
2014,11,10,50,48,52.2,46,0
2014,11,11,48,46,51.9,48,0
2014,11,12,46,48,51.7,55,0
2014,11,13,48,55,51.4,52,0
2014,11,14,55,52,51.2,52,0
2014,11,15,52,52,51,49,0
2014,11,16,52,49,50.7,49,0
2014,11,17,49,49,50.5,54,0
2014,11,18,49,54,50.3,50,0
2014,11,19,54,50,50,56,0
2014,11,20,50,56,49.8,52,0
2014,11,21,56,52,49.5,47,0
2014,11,22,52,47,49.3,48,0
2014,11,23,47,48,49.1,49,0
2014,11,24,48,49,48.9,48,0
2014,11,25,49,48,48.6,47,0
2014,11,26,48,47,48.4,49,0
2014,11,27,47,49,48.2,50,0
2014,11,28,49,50,48,49,0
2014,11,29,50,49,47.8,55,0
2014,11,30,49,55,47.6,59,0
2014,12,1,55,59,47.4,56,0
2014,12,2,59,56,47.2,47,0
2014,12,3,56,47,47,49,0
2014,12,4,47,49,46.8,53,0
2014,12,5,49,53,46.6,48,0
2014,12,6,53,48,46.4,45,0
2014,12,7,48,45,46.3,46,0
2014,12,8,45,46,46.1,44,0
2014,12,9,46,44,46,44,0
2014,12,10,44,44,45.9,45,0
2014,12,11,44,45,45.7,46,0
2014,12,12,45,46,45.6,44,0
2014,12,13,46,44,45.5,45,0
2014,12,14,44,45,45.4,43,0
2014,12,15,45,43,45.3,40,0
2014,12,16,43,40,45.3,44,0
2014,12,17,40,44,45.2,47,0
2014,12,18,44,47,45.2,39,0
2014,12,19,47,39,45.1,47,0
2014,12,20,39,47,45.1,45,0
2014,12,21,47,45,45.1,47,0
2014,12,22,45,47,45.1,47,0
2014,12,23,47,47,45.1,45,0
2014,12,24,47,45,45.1,42,0
2014,12,25,45,42,45.1,42,0
2014,12,26,42,42,45.2,44,0
2014,12,27,42,44,45.2,46,0
2014,12,28,44,46,45.3,47,0
2014,12,29,46,47,45.3,41,0
2014,12,30,47,41,45.4,40,0
2014,12,31,41,40,45.5,38,0
2015,1,1,40,38,45.6,41,0
2015,1,2,38,41,45.7,43,0
2015,1,3,41,43,45.8,44,0
2015,1,4,43,44,45.9,50,0
2015,1,5,44,50,46,44,0
2015,1,6,50,44,46.1,45,0
2015,1,7,44,45,46.2,50,0
2015,1,8,45,50,46.3,53,0
2015,1,9,50,53,46.4,50,0
2015,1,10,53,50,46.5,38,0
2015,1,11,50,38,46.7,37,0
