,sentence
187," The rebels, seeing help coming, at once attacked most fiercely."
188," The relieving force being comparatively small could not prevail and retired some ten miles, where they made a camp."
189,"    They are many and we but few,	said Liu Bei to his brothers."
190,	We can only beat them by superior strategy.
191,  So they prepared an ambush.
192," Guan Yu and Zhang Fei, each with a goodly party, went behind the hills, right and left, and there hid."
193, When the gongs beat they were to move out to support the main army.
194,"  These preparations made, the drums rolled noisily for Liu Bei to advance."
195, The rebels also came forward.
196, But Liu Bei suddenly retired.
197," Thinking this was their chance, the rebels pressed forward and were led over the hills."
198, Then suddenly the gongs sounded for the ambush.
199, Guan Yu and Zhang Fei poured out from right and left as Liu Bei faced around to meet the rebels.
200," Under three−side attack, the rebels lost heavily and fled to the walls of Qingzhou City."
201," But Imperial Protector Gong Jing led out an armed body to attack them, and the rebels were entirely defeated and many slain."
202, Qingzhou was no longer in danger.
203,"  Though fierce as tigers soldiers be, Battle are won by strategy."
204," A hero comes; he gains renown, Already destined for a crown."
205," After the celebrations in honor of victory were over, Commander Zhou Jing proposed to return to Youzhou."
206," But Liu Bei said,	We are informed that Imperial Commander Lu Zhi has been struggling with a horde of rebels led by Zhang Jue at Guangzong."
207," Lu Zhi was once my teacher, and I want to go to help him."
208,"  So Liu Bei and Zhou Jing separated, and the three brothers with their troops made their way of Guangzong."
209," They found Lu Zhi's camp, were admitted to his presence, and declared the reason of their coming."
210," The Commander received them with great joy, and they remained with him while he made his plans."
211,  At that time Zhang Jue's one hundred fifty thousand troops and Lu Zhi's fifty thousand troops were facing each other.
212, Neither had had any success.
213,"  Lu Zhi said to Liu Bei,	I am able to surround these rebels here."
214," But the other two brothers, Zhang Bao and Zhang Liang, are strongly entrenched opposite Huangfu Song and Zhu Jun at Yingchuan."
215," I will give you a thousand more troops, and with these you can go to find out what is happening, and we can then settle the moment for concerted attack."
216,  So Liu Bei set off and marched as quickly as possible to Yingchuan.
217," At that time the imperial troops were attacking with success, and the rebels had retired upon Changshe."
218, They had encamped among the thick grass.
219," Seeing this, Huangfu Song said to Zhu Jun,	The rebels are camping in the field."
220, We can attack them by fire.
221,  So the Imperial Commanders bade every man cut a bundle of dry grass and laid an ambush.
222," That night the wind blew a gale, and at the second watch they started a blaze."
223, At the same time Huangfu Song and Zhu Jun's troops attacked the rebels and set their camp on fire.
224, The flames rose to the very heaven.
225, The rebels were thrown into great confusion.
226, There was no time to saddle horses or don armor; they fled in all directions.
227,  The battle continued until dawn.
228," Zhang Liang and Zhang Bao, with a group of flying rebels, found a way of escape."
229, But suddenly a troop of soldiers with crimson banners appeared to oppose them.
230, Their leader was a man of medium stature with small eyes and a long beard.
231," He was Cao Cao, a Beijuo man, holding the rank of General of the Flying Cavalry."
232," His father was Cao Song, but he was not really a Cao."
233," Cao Song had been born to the Xiahou family, but he had been brought up by Eunuch Cao Teng and had taken this family name."
234,  As a young man Cao Cao had been fond of hunting and delighted in songs and dancing.
235, He was resourceful and full of guile.
236," An uncle, seeing the young fellow so unsteady, used to get angry with him and told his father of his misdeeds."
237, His father remonstrated with him.
238,  But Cao Cao made equal to the occasion.
239," One day, seeing his uncle coming, he fell to the ground in a pretended fit."
240," The uncle alarmed ran to tell his father, who came, and there was the youth in most perfect health."
241,  But your uncle said you were in a fit; are you better?
242,	said his father.
243,"    I have never suffered from fits or any such illness,	said Cao Cao."
244,"	But I have lost my uncle's affection, and he has deceived you."
245,"  Thereafter, whatever the uncle might say of his faults, his father paid no heed."
246, So the young man grew up licentious and uncontrolled.
247,"  A man of the time named Qiao Xuan said to Cao Cao,	Rebellion is at hand, and only a man of the greatest ability can succeed in restoring tranquillity."
248, That man is yourself.
249,"  And Ho Yo of Nanyang said of him,	The dynasty of Han is about to fall."
250, He who can restore peace is this man and only he.
251,  Cao Cao went to inquire his future of a wise man of Runan named Xu Shao.
252, What manner of man am I?
253,	asked Cao Cao.
254," The seer made no reply, and again and again Cao Cao pressed the question."
255,"  Then Xu Shao replied,	In peace you are an able subject; in chaos you are a crafty hero!"
256, Cao Cao greatly rejoiced to hear this.
257, Cao Cao graduated at twenty and earned a reputation of piety and integrity.
258, He began his career in a county near Capital Luoyang.
259," In the four gates of the city he ruled, he hung up clubs of various sorts, and he would punish any breach of the law whatever the rank of the offender."
260, Now an uncle of Eunuch Jian Shuo was found one night in the streets with a sword and was arrested.
261, In due course he was beaten.
262," Thereafter no one dared to offend again, and Cao Cao's name became heard."
263, Soon he became a magistrate of Dunqiu.
264,"  At the outbreak of the Yellow Scarves, Cao Cao held the rank of General and was given command of five thousand horse and foot to help fight at Yingchuan."
265, He just happened to fall in with the newly defeated rebels  whom he cut to pieces.
266," Thousands were slain and endless banners and drums and horses were captured, together with huge sums of money."
267," However Zhang Bao and Zhang Liang got away; and after an interview with Huangfu Song, Cao Cao went in pursuit of them."
268,"  Meanwhile Liu Bei and his brothers were hastening toward Yingchuan, when they heard the din of battle and saw flames rising high toward the sky."
269," However, they arrived too late for the fighting."
270, They saw Huangfu Song and Zhu Jun to whom they told the intentions of Lu Zhi.
271,"    The rebel power is quite broken here,	said the commanders,	but they will surely make for Guangzong to join Zhang Jue."
272, You can do nothing better than hasten back.
273,  The three brothers thus retraced their steps.
274, Half way along the road they met a party of soldiers escorting a prisoner in a cage−cart.
275," When they drew near, they saw the prisoner was no other than the man they were going to help."
276," Hastily dismounting, Liu Bei asked what had happened."
277,"  Lu Zhi explained,	I had surrounded the rebels and was on the point of smashing them, when Zhang Jue employed some of his supernatural powers and prevented my victory."
278," The court sent down Eunuch Zhuo Feng to inquire into my failure, and that official demanded a bribe."
279," I told him how hard pressed we were and asked him where, in the circumstances, I could find a gift for him."
280, He went away in wrath and reported that I was hiding behind my ramparts and would not give battle and that I disheartened my army.
281," So I was superseded by Dong Zhuo, and I have to go to the capital to answer the charge."
282,  This story put Zhang Fei into a rage.
283, He was for slaying the escort and setting free Lu Zhi.
284, But Liu Bei checked him.
285,"    The government will take the proper course,	said Liu Bei."
286,	You must not act hastily!
287, And the escort and the three brothers went two ways.
288," It was useless to continue on that road to Guangzong, so Guan Yu proposed to go back to Zhuo, and they retook the road."
289, Two days later they heard the thunder of battle behind some hills.
290," Hastening to the top, they beheld the government soldiers suffering great loss, and they saw the countryside was full of Yellow Scarves."
291, On the rebels' banners were the words	Zhang Jue the Lord of Heaven	written large.
292,  We will attack this Zhang Jue!
293,"	said Liu Bei to his brothers, and they galloped out to join in the battle."
294,  Zhang Jue had worsted Dong Zhuo and was following up his advantage.
295," He was in hot pursuit when the three brothers dashed into his army, threw his ranks into confusion, and drove him back fifteen miles."
296, Then the brothers returned with the rescued general to his camp.
297,  What offices have you?
298,"	asked Dong Zhuo, when he had leisure to speak to the brothers."
299," None,	replied they."
300, And Dong Zhuo treated them with disrespect.
301," Liu Bei retired calmly, but Zhang Fei was furious."
302,"    We have just rescued this menial in a bloody fight,	cried Zhang Fei,	and now he is rude to us!"
303, Nothing but his death can slake my anger.
304,"  Zhang Fei stamped toward Dong Zhuo's tent, holding firmly a sharp sword."
305,"  As it was in olden time so it is today, The simple wight may merit well, Officialdom holds sway; Zhang Fei, the blunt and hasty, Where can you find his peer?"
306, But slaying the ungrateful would Mean many deaths a year.
307, Dong Zhuo's fate will be unrolled in later chapters.
308,       CHAPTER 2.
309, Zhang Fei Whips The Government Officer; He Jin Plots To Kill The Eunuchs.
310, Dong Zhuo was born in the far northwest at Lintao in Longxi.
311," As the governor of Hedong, Dong Zhuo himself was arrogant and overbearing."
312," But the day he had treated Liu Bei with contumely had been his last, had not Liu Bei and Guan Yu restrained their wrathful brother Zhang Fei."
313,"  Remember he has the government commission;	said Liu Bei,	who are we to judge and slay?"
314,    It is bitter to take orders from such a wretch; I would rather slay him!
315," You may stay here if you wish to, but I will seek some other place,	said Zhang Fei."
316,  We three are one in life and in death; there is no parting for us.
317, We will all go hence.
318,"  So spoke Liu Bei, and his brother was satisfied."
319," Wherefore all three set out and lost no time in traveling until they came to Zhu Jun, who received them well and accepted their aid in attacking Zhang Bao."
320," At this time Cao Cao had joined himself to Huangfu Song, and they were trying to destroy Zhang Liang, and there was a great battle at Quyang."
321,  Zhang Bao was commanding some eighty thousand troops.
322, The rebel had led his army to a strong position in the rear of the hills.
323," An attack being decided upon, Liu Bei was the van leader."
324," On the rebel side a general of Zhang Bao, Gao Sheng, came out to offer battle."
325, Liu Bei sent Zhang Fei to smite Gao Sheng.
326," Out rode Zhang Fei at full speed, his spear ready set."
327," After a few bouts Zhang Fei wounded Gao Sheng, who was unhorsed."
328, At this Liu Bei signaled the main army to advance.
329," Then Zhang Bao, while still mounted, loosened his hair, grasped his sword, and uttered his incantations."
330," Thereupon began the wind to howl and the thunder to roll, while a dense black cloud from the heavens settled upon the field."
331," And therein seemed to be horsemen and footmen innumerable, who swept to attack the imperial troops."
332," Fear came upon them, and Liu Bei led off his troops, but they were in disorder and returned defeated."
333,  Zhu Jun and Liu Bei considered the matter.
334,"    Zhang Bao uses magic,	said Zhu Jun."
335,"	Tomorrow, then, will I prepare counter magic in the shape of the blood of slaughtered swine and goats and dogs."
336, This blood shall be sprinkled upon their hosts from the precipices above by soldiers in ambush.
337, Thus shall we be able to break the power of their shamanic art.
338,  So it was done.
339," Guan Yu and Zhang Fei took each a thousand troops and hid them on the high cliffs behind the hills, and they had a plentiful supply of the blood of swine and goats and dogs and all manners of filthy things."
340," And so next day, when the rebels with fluttering banners and rolling drums came out to challenge, Liu Bei rode forth to meet them."
341," At the same moment that the armies met, again Zhang Bao began his magic and again the elements began to struggle together."
342," Sand flew in clouds, pebbles were swept along the ground, black masses of vapor filled the sky, and rolling masses of foot and horse descended from on high."
343," Liu Bei turned, as before, to flee and the rebels rushed on."
344," But as they pressed through the hills, the trumpets blared, and the hidden soldiers exploded bombs, threw down filth and spattered blood."
345," The masses of soldiers and horses in the air fluttered to the earth as fragments of torn paper, the wind ceased to blow, the thunder subsided, the sand sank, and the pebbles lay still upon the ground."
346,  Zhang Bao quickly saw his magic had been countered and turned to retire.
347," Then he was attacked on the flanks by Guan Yu and Zhang Fei, and in rear by Liu Bei and Zhu Jun."
348, The rebels were routed.
349," Liu Bei, seeing from afar the banner of	Zhang Bao The Lord of Earth,	galloped toward it but only succeeded in wounding Zhang Bao with an arrow in the left arm."
350," Wounded though he was, Zhang Bao got away into the city of Yangcheng, where he fortified himself and was besieged by Zhu Jun."
351,"  Scouts, sent out to get news of Huangfu Song, reported:	Commander Huangfu Song had been very successful, and Dong Zhuo had suffered many reverses."
352, Therefore the court put Huangfu Song in the latter's place.
353, Zhang Jue had died before Huangfu Song's arrival.
354," Zhang Liang had added his brother's army to his own, but no headway could be made against Huangfu Song, whose army gained seven successive victories."
355, And Zhang Liang was slain at Quyang.
356," Beside this, Zhang Jue's coffin was exhumed, the corpse beheaded, and the head, after exposure, was sent to Capital Luoyang."
357, The common crowd had surrendered.
358, For these services Huangfu Song was promoted to General of the Flying Cavalry and the Imperial Protector of Jizhou.
359,    Huangfu Song did not forgotten his friends.
360," His first act after he had attained to power was to memorialize the Throne concerning the case of Lu Zhi, who was then restored to his former rank for his meritorious conducts."
361, Cao Cao also received advancement for his services and was preparing to go to Jinan to his new post.
362,"  Hearing these things Zhu Jun pressed harder yet upon Yangcheng, and the approaching break−up of the rebellion became evident."
363," Then one of Zhang Bao's officers, Yan Zheng, killed his leader and brought the head in token of submission."
364," Thus rebellion in that part of the country was stamped out, and Zhu Jun made his report to the government."
365,"  However, the embers of the Yellow Scarves still smoldered."
366," Three other rebels, Zhao Hong, Han Zhong, and Sun Zhong, gathered some thirty thousand rebels and began to murder and rob and burn, calling themselves the avengers of Master Zhang Jue."
367,  The court commanded the successful Zhu Jun to lead his veteran and successful troops to destroy the rebels.
368, He at once marched toward the city of Wancheng which the rebels were holding.
369," When Zhu Jun arrived, Han Zhong went to oppose him."
370, Zhu Jun sent Liu Bei and his brothers to attack the southwest corner of the city.
371, Han Zhong at once led the best of his troops to defend the city.
372, Meanwhile Zhu Jun himself led two thousand of armored horsemen to attack the opposite corner.
373," The rebels, thinking the city being lost, abandoned the southwest and turned back into the city to help the defenders."
374," Liu Bei pressed hotly in their rear, and they  were utterly routed."
375, They took refuge in the city which was then invested.
376," When famine pressed upon the besieged, they sent a messenger to offer to surrender, but Zhu Jun refused the offer."
377,"  Said Liu Bei to Zhu Jun,	Seeing that the founder of the Han Dynasty, Liu Bang the Supreme Ancestor, could welcome the submissive and receive the favorable, why reject these?"
378,"    The conditions are different,	replied Zhu Jun."
379,	In those old days disorder was universal and the people had no fixed lord.
380, Wherefore submission was welcomed and support rewarded to encourage people to come over.
381," Now the empire is united, and the Yellow Scarves are the only malcontents."
382, To receive their surrender is not to encourage the good.
383," To allow brigands, when successful, is to give way to every license, and to let them surrender when they fail is to encourage brigandage."
384, Your plan is not a good one.
385,"  Liu Bei replied,	Not to let brigands surrender is well."
386, But the city is surrounded as by an iron barrel.
387," If the rebels' request be refused, they will be desperate and fight to the death, and we can hardly withstood a myriad of such men."
388," Moreover, in the city there are many times that number, all doomed to death."
389, Let us withdraw from one corner and only attack the opposite.
390, They will all assuredly flee and have no desire to fight.
391, We shall take them.
392,  Zhu Jun saw that the advice was good and followed it.
393," As predicted the rebels ran out, led by Han Zhong."
394," The besiegers fell upon them as they fled, and Han Zhong was slain."
395, The rebels scattered in all directions.
396," But the other two rebel chieftains, Zhao Hong and Sun Zhong, came with large reinforcements, and as they appeared very strong, the imperial soldiers retired, and the new body of rebels reentered Wancheng."
397,  Zhu Jun encamped three miles from the city and prepared to attack.
398, Just then there arrived a body of horse and foot from the east.
